Surname,Gender,Current Institution,Country of current work,Country of birth/citizenship,PhD or highest degree awarding institution,PhD or highest degree awarding country,IPCC representing country (i.e. Country of residence from IPCC doc),IPCC AR5 WGIII chapter,Role in the chapter,Other Institution 1,Other Institution 2,Other Institution 3,Other Institution 4,Other Institution 5,Other Institution 6,Other Institution 7,Other Institution 8,Other Institution 9,Other Institution 10,Other Institution 11,Other Institution 12,Other Institution 13...23,Other Institution 13...24,Other Institution 14,Other Institution 15
Lutz,1,WCDGHC,Austria,Austria,UoPennsylvania,USA,Austria,4,LA,UoOxford,MPIC,APHRC,European_Comission,IUSSP,UoVienna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Managi,1,UoTohoku,Japan,Japan,UoRhode_Island,USA,Japan,15,LA,JoEEM,JoEDC,JoRE,JoIE,WRS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Masera-Cerutti,1,UNAM,Mexico,Mexico,UoCalifornia_Berkeley,USA,Mexico,11,LA,FAO,UNFCCC,Mexican_Government,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Massetti,1,FEEM,Italy,Italy,Cath_UoMilan,Italy,Italy,16,LA,UoVenice,UoYale,RFF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mbow,1,UoAnta_Diop,Senegal,Senegal,UoAnta_Diop/UoCopenhagen,Senegal/Denmark,Senegal,11,LA,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
McMahon,1,BCRPA,USA,MD,UoFlorida,USA,USA,12,LA,LBNL,UoCalifornia_Berkeley,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michaelowa,1,UoZurich,Switzerland,Germany,UoHamburg,Germany,Switzerland,13,LA,HWWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mirasgedis,1,NOA,Greece,MD,MD,MD,Greece,9,LA,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mitchell,0,UoExeter,UK,UK,UoSussex,UK,UK,15,LA,UoWarwick,UoSussex,UoCalifornia_Berkeley,UKERC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Müller,1,NTNU,Norway,Switzerland,ETH_Zurich,Switzerland,Norway,12,LA,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
