,Name,Developer,Link,Release_Date,Since_Release,Rating,Prices,Date_Checked,Sale_Event
50,Garbage,,https://steamdb.info/app/1253710/,,,,,,
51,TT Isle of Man Ride on the Edge,,https://steamdb.info/app/626610/,,,,,,
52,FOR HONOR™,,https://steamdb.info/app/304390/,,,,,,
53,Darksburg,,https://steamdb.info/app/939100/,,,,,,
54,Space Hulk: Tactics,,https://steamdb.info/app/492230/,,,,,,
55,Otaku's Fantasy 2,,https://steamdb.info/app/788130/,,,,,,
56,Tower Hunter: Erza's Trial,,https://steamdb.info/app/844850/,,,,,,
57,DJMAX RESPECT V,,https://steamdb.info/app/960170/,,,,,,
58,STAR WARS™: Squadrons,,https://steamdb.info/app/1222730/,,,,,,
59,Car Mechanic Simulator 2018,,https://steamdb.info/app/645630/,,,,,,
60,Tricolour Lovestory,,https://steamdb.info/app/668630/,,,,,,
61,Void Bastards,,https://steamdb.info/app/857980/,,,,,,
62,My Island,,https://steamdb.info/app/1004270/,,,,,,
63,Fox Hime Zero,,https://steamdb.info/app/844930/,,,,,,
64,The Vagrant,,https://steamdb.info/app/598700/,,,,,,
65,妄想症：Deliver Me,,https://steamdb.info/app/779640/,,,,,,
66,Home Behind,,https://steamdb.info/app/467960/,,,,,,
67,Tangledeep,,https://steamdb.info/app/628770/,,,,,,
68,KumaKuma Manga Editor,,https://steamdb.info/app/1020820/,,,,,,
69,Blades of Time,,https://steamdb.info/app/208670/,,,,,,
70,Puyo Puyo Champions,,https://steamdb.info/app/971620/,,,,,,
71,"Runaway, A Road Adventure",,https://steamdb.info/app/7210/,,,,,,
72,Sakura no Mori † Dreamers,,https://steamdb.info/app/749520/,,,,,,
73,F1® 2021,,https://steamdb.info/app/1134570/,,,,,,
74,Eximius: Seize the Frontline,,https://steamdb.info/app/505740/,,,,,,
75,Iron Harvest,,https://steamdb.info/app/826630/,,,,,,
76,Super Seducer : How to Talk to Girls,,https://steamdb.info/app/695920/,,,,,,
77,Amnesia: Rebirth,,https://steamdb.info/app/999220/,,,,,,
78,Monobeno,,https://steamdb.info/app/758090/,,,,,,
79,Necrobarista,,https://steamdb.info/app/725270/,,,,,,
80,Zombie Army 4: Dead War,,https://steamdb.info/app/694280/,,,,,,
81,Abandon Ship,,https://steamdb.info/app/551860/,,,,,,
82,The Forest,,https://steamdb.info/app/242760/,,,,,,
83,Command & Conquer™ Remastered Collection,,https://steamdb.info/app/1213210/,,,,,,
84,Cat Quest II,,https://steamdb.info/app/914710/,,,,,,
85,Crying Suns,,https://steamdb.info/app/873940/,,,,,,
86,Leisure Suit Larry - Wet Dreams Dry Twice,,https://steamdb.info/app/1373430/,,,,,,
87,Close to the Sun,,https://steamdb.info/app/968870/,,,,,,
88,The Bunker,,https://steamdb.info/app/481110/,,,,,,
89,Bee Simulator,,https://steamdb.info/app/914750/,,,,,,
90,The Fisherman - Fishing Planet,,https://steamdb.info/app/1072480/,,,,,,
