STATION,NAME,DATE,PRCP,TMAX,TMIN
USW00014732,"LAGUARDIA AIRPORT, NY US",5/26/2015,0,86,67
USW00014732,"LAGUARDIA AIRPORT, NY US",5/27/2015,0.02,81,67
USW00014732,"LAGUARDIA AIRPORT, NY US",5/28/2015,0,84,67
USW00014732,"LAGUARDIA AIRPORT, NY US",5/29/2015,0,82,64
USW00014732,"LAGUARDIA AIRPORT, NY US",5/30/2015,0,83,66
USW00014732,"LAGUARDIA AIRPORT, NY US",5/31/2015,1.28,86,57
USW00014732,"LAGUARDIA AIRPORT, NY US",6/1/2015,0.77,58,51
USW00014732,"LAGUARDIA AIRPORT, NY US",6/2/2015,0.35,56,50
USW00014732,"LAGUARDIA AIRPORT, NY US",6/3/2015,0,69,53
USW00014732,"LAGUARDIA AIRPORT, NY US",6/4/2015,0,65,54
USW00014732,"LAGUARDIA AIRPORT, NY US",6/5/2015,0,68,56
USW00014732,"LAGUARDIA AIRPORT, NY US",6/6/2015,0.55,74,59
USW00014732,"LAGUARDIA AIRPORT, NY US",6/7/2015,0,73,57
USW00014732,"LAGUARDIA AIRPORT, NY US",6/8/2015,0.04,77,62
USW00014732,"LAGUARDIA AIRPORT, NY US",6/9/2015,0.01,85,67
USW00014732,"LAGUARDIA AIRPORT, NY US",6/10/2015,0,82,66
USW00014732,"LAGUARDIA AIRPORT, NY US",6/11/2015,0,92,72
USW00014732,"LAGUARDIA AIRPORT, NY US",6/12/2015,0,88,71
USW00014732,"LAGUARDIA AIRPORT, NY US",6/13/2015,0,84,72
USW00014732,"LAGUARDIA AIRPORT, NY US",6/14/2015,0.26,87,67
USW00014732,"LAGUARDIA AIRPORT, NY US",6/15/2015,0.55,81,63
USW00014732,"LAGUARDIA AIRPORT, NY US",6/16/2015,0.34,79,64
USW00014732,"LAGUARDIA AIRPORT, NY US",6/17/2015,0,79,66
USW00014732,"LAGUARDIA AIRPORT, NY US",6/18/2015,0,71,65
USW00014732,"LAGUARDIA AIRPORT, NY US",6/19/2015,0,85,67
USW00014732,"LAGUARDIA AIRPORT, NY US",6/20/2015,0,73,64
USW00014732,"LAGUARDIA AIRPORT, NY US",6/21/2015,0.54,90,69
USW00014732,"LAGUARDIA AIRPORT, NY US",6/22/2015,0,89,72
USW00014732,"LAGUARDIA AIRPORT, NY US",6/23/2015,0.07,92,76
USW00014732,"LAGUARDIA AIRPORT, NY US",6/24/2015,0,83,69
USW00014732,"LAGUARDIA AIRPORT, NY US",6/25/2015,0,85,69
USW00014732,"LAGUARDIA AIRPORT, NY US",6/26/2015,0,80,70
USW00014732,"LAGUARDIA AIRPORT, NY US",6/27/2015,1.06,74,60
USW00014732,"LAGUARDIA AIRPORT, NY US",6/28/2015,0.26,74,62
USW00014732,"LAGUARDIA AIRPORT, NY US",6/29/2015,0,78,64
USW00014732,"LAGUARDIA AIRPORT, NY US",6/30/2015,0,82,67
USW00014732,"LAGUARDIA AIRPORT, NY US",7/1/2015,0.35,85,70
USW00014732,"LAGUARDIA AIRPORT, NY US",7/2/2015,0,81,70
USW00014732,"LAGUARDIA AIRPORT, NY US",7/3/2015,0,81,67
USW00014732,"LAGUARDIA AIRPORT, NY US",7/4/2015,0,75,69
USW00014732,"LAGUARDIA AIRPORT, NY US",7/5/2015,0,85,70
USW00014732,"LAGUARDIA AIRPORT, NY US",7/6/2015,0,83,71
USW00014732,"LAGUARDIA AIRPORT, NY US",7/7/2015,0,88,75
USW00014732,"LAGUARDIA AIRPORT, NY US",7/8/2015,0.09,89,76
USW00014732,"LAGUARDIA AIRPORT, NY US",7/9/2015,0.29,79,68
USW00014732,"LAGUARDIA AIRPORT, NY US",7/10/2015,0,84,72
USW00014732,"LAGUARDIA AIRPORT, NY US",7/11/2015,0,86,72
USW00014732,"LAGUARDIA AIRPORT, NY US",7/12/2015,0,89,73
USW00014732,"LAGUARDIA AIRPORT, NY US",7/13/2015,0,85,74
USW00014732,"LAGUARDIA AIRPORT, NY US",7/14/2015,0.95,81,71
USW00014732,"LAGUARDIA AIRPORT, NY US",7/15/2015,0.01,81,72
USW00014732,"LAGUARDIA AIRPORT, NY US",7/16/2015,0,80,64
USW00014732,"LAGUARDIA AIRPORT, NY US",7/17/2015,0,80,68
USW00014732,"LAGUARDIA AIRPORT, NY US",7/18/2015,0.18,86,72
USW00014732,"LAGUARDIA AIRPORT, NY US",7/19/2015,0,94,78
USW00014732,"LAGUARDIA AIRPORT, NY US",7/20/2015,0,95,83
USW00014732,"LAGUARDIA AIRPORT, NY US",7/21/2015,0,92,75
USW00014732,"LAGUARDIA AIRPORT, NY US",7/22/2015,0,86,71
USW00014732,"LAGUARDIA AIRPORT, NY US",7/23/2015,0,85,71
USW00014732,"LAGUARDIA AIRPORT, NY US",7/24/2015,0,85,71
USW00014732,"LAGUARDIA AIRPORT, NY US",7/25/2015,0,85,71
USW00014732,"LAGUARDIA AIRPORT, NY US",7/26/2015,0.05,89,75
USW00014732,"LAGUARDIA AIRPORT, NY US",7/27/2015,0,87,76
USW00014732,"LAGUARDIA AIRPORT, NY US",7/28/2015,0,94,76
USW00014732,"LAGUARDIA AIRPORT, NY US",7/29/2015,0,95,78
USW00014732,"LAGUARDIA AIRPORT, NY US",7/30/2015,1.62,87,75
USW00014732,"LAGUARDIA AIRPORT, NY US",7/31/2015,0,91,74
USW00014732,"LAGUARDIA AIRPORT, NY US",8/1/2015,0,90,77
USW00014732,"LAGUARDIA AIRPORT, NY US",8/2/2015,0,89,73
USW00014732,"LAGUARDIA AIRPORT, NY US",8/3/2015,0,92,76
USW00014732,"LAGUARDIA AIRPORT, NY US",8/4/2015,0.3,91,70
USW00014732,"LAGUARDIA AIRPORT, NY US",8/5/2015,0,88,72
USW00014732,"LAGUARDIA AIRPORT, NY US",8/6/2015,0,82,70
USW00014732,"LAGUARDIA AIRPORT, NY US",8/7/2015,0,82,69
USW00014732,"LAGUARDIA AIRPORT, NY US",8/8/2015,0,81,69
USW00014732,"LAGUARDIA AIRPORT, NY US",8/9/2015,0,84,70
USW00014732,"LAGUARDIA AIRPORT, NY US",8/10/2015,0,81,70
USW00014732,"LAGUARDIA AIRPORT, NY US",8/11/2015,1.18,82,71
USW00014732,"LAGUARDIA AIRPORT, NY US",8/12/2015,0,85,72
USW00014732,"LAGUARDIA AIRPORT, NY US",8/13/2015,0,83,69
USW00014732,"LAGUARDIA AIRPORT, NY US",8/14/2015,0,88,71
USW00014732,"LAGUARDIA AIRPORT, NY US",8/15/2015,0,92,74
USW00014732,"LAGUARDIA AIRPORT, NY US",8/16/2015,0,92,77
USW00014732,"LAGUARDIA AIRPORT, NY US",8/17/2015,0,93,79
USW00014732,"LAGUARDIA AIRPORT, NY US",8/18/2015,0,89,77
USW00014732,"LAGUARDIA AIRPORT, NY US",8/19/2015,0,87,76
USW00014732,"LAGUARDIA AIRPORT, NY US",8/20/2015,0,87,77
USW00014732,"LAGUARDIA AIRPORT, NY US",8/21/2015,0.32,86,71
USW00014732,"LAGUARDIA AIRPORT, NY US",8/22/2015,0,84,70
USW00014732,"LAGUARDIA AIRPORT, NY US",8/23/2015,0,83,71
USW00014732,"LAGUARDIA AIRPORT, NY US",8/24/2015,0,86,73
USW00014732,"LAGUARDIA AIRPORT, NY US",8/25/2015,0,88,75
USW00014732,"LAGUARDIA AIRPORT, NY US",8/26/2015,0,83,69
USW00014732,"LAGUARDIA AIRPORT, NY US",8/27/2015,0,80,68
USW00014732,"LAGUARDIA AIRPORT, NY US",8/28/2015,0,83,66
USW00014732,"LAGUARDIA AIRPORT, NY US",8/29/2015,0,85,70
USW00014732,"LAGUARDIA AIRPORT, NY US",8/30/2015,0.08,90,72
USW00014732,"LAGUARDIA AIRPORT, NY US",8/31/2015,0,92,77
USW00014732,"LAGUARDIA AIRPORT, NY US",9/1/2015,0,88,76
USW00014732,"LAGUARDIA AIRPORT, NY US",9/2/2015,0,88,75
USW00014732,"LAGUARDIA AIRPORT, NY US",9/3/2015,0,93,76
USW00014732,"LAGUARDIA AIRPORT, NY US",9/4/2015,0,84,70
USW00014732,"LAGUARDIA AIRPORT, NY US",9/5/2015,0,80,67
USW00014732,"LAGUARDIA AIRPORT, NY US",9/6/2015,0,84,67
USW00014732,"LAGUARDIA AIRPORT, NY US",9/7/2015,0,90,71
USW00014732,"LAGUARDIA AIRPORT, NY US",9/8/2015,0,95,76
USW00014732,"LAGUARDIA AIRPORT, NY US",9/9/2015,0.14,89,76
USW00014732,"LAGUARDIA AIRPORT, NY US",9/10/2015,1.04,79,70
USW00014732,"LAGUARDIA AIRPORT, NY US",9/11/2015,0,81,66
USW00014732,"LAGUARDIA AIRPORT, NY US",9/12/2015,0.17,79,70
USW00014732,"LAGUARDIA AIRPORT, NY US",9/13/2015,0.05,79,62
USW00014732,"LAGUARDIA AIRPORT, NY US",9/14/2015,0,75,59
USW00014732,"LAGUARDIA AIRPORT, NY US",9/15/2015,0,84,65
USW00014732,"LAGUARDIA AIRPORT, NY US",9/16/2015,0,87,68
USW00014732,"LAGUARDIA AIRPORT, NY US",9/17/2015,0,87,70
USW00014732,"LAGUARDIA AIRPORT, NY US",9/18/2015,0,85,70
USW00014732,"LAGUARDIA AIRPORT, NY US",9/19/2015,0,80,69
USW00014732,"LAGUARDIA AIRPORT, NY US",9/20/2015,0,76,65
USW00014732,"LAGUARDIA AIRPORT, NY US",9/21/2015,0,73,59
USW00014732,"LAGUARDIA AIRPORT, NY US",9/22/2015,0,72,61
USW00014732,"LAGUARDIA AIRPORT, NY US",9/23/2015,0,79,59
USW00014732,"LAGUARDIA AIRPORT, NY US",9/24/2015,0,81,63
USW00014732,"LAGUARDIA AIRPORT, NY US",9/25/2015,0,73,64
USW00014732,"LAGUARDIA AIRPORT, NY US",9/26/2015,0,70,59
USW00014732,"LAGUARDIA AIRPORT, NY US",9/27/2015,0,69,56
USW00014732,"LAGUARDIA AIRPORT, NY US",9/28/2015,0,79,65
USW00014732,"LAGUARDIA AIRPORT, NY US",9/29/2015,0.08,83,71
USW00014732,"LAGUARDIA AIRPORT, NY US",9/30/2015,1.03,78,59
USW00014732,"LAGUARDIA AIRPORT, NY US",10/1/2015,0.09,64,54
USW00014732,"LAGUARDIA AIRPORT, NY US",10/2/2015,1.15,57,49
USW00014732,"LAGUARDIA AIRPORT, NY US",10/3/2015,0.36,56,49
USW00014732,"LAGUARDIA AIRPORT, NY US",10/4/2015,0,63,53
USW00014732,"LAGUARDIA AIRPORT, NY US",10/5/2015,0,65,52
USW00014732,"LAGUARDIA AIRPORT, NY US",10/6/2015,0,73,55
USW00014732,"LAGUARDIA AIRPORT, NY US",10/7/2015,0,73,59
USW00014732,"LAGUARDIA AIRPORT, NY US",10/8/2015,0,68,60
USW00014732,"LAGUARDIA AIRPORT, NY US",10/9/2015,0.5,78,62
USW00014732,"LAGUARDIA AIRPORT, NY US",10/10/2015,0,65,52
USW00014732,"LAGUARDIA AIRPORT, NY US",10/11/2015,0,70,53
USW00014732,"LAGUARDIA AIRPORT, NY US",10/12/2015,0,76,56
USW00014732,"LAGUARDIA AIRPORT, NY US",10/13/2015,0,73,62
USW00014732,"LAGUARDIA AIRPORT, NY US",10/14/2015,0,68,58
USW00014732,"LAGUARDIA AIRPORT, NY US",10/15/2015,0,64,52
USW00014732,"LAGUARDIA AIRPORT, NY US",10/16/2015,0,64,55
USW00014732,"LAGUARDIA AIRPORT, NY US",10/17/2015,0,55,43
